trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
269,False,"{'a': 0.5, 'e': 0.06629832272038531}",25,20,11.749882948808569,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06563533949318147}",25,0,37.386005613005985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.06497898609824965}",20,0,-16.219568922821516,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
272,False,"{'a': 0.5, 'e': 0.06432919623726716}",25,13,24.296425199772997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.06368590427489448}",30,16,25.061516172306305,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06304904523214554}",25,18,10.70233908789023,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.06241855477982408}",25,16,17.256822990947196,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.06179436923202584}",35,21,22.956595960674328,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.06117642553970558}",20,16,8.429090714671585,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.06056466128430853}",30,16,26.976106400612707,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.05995901467146544}",25,3,-24.720961066629005,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
280,False,"{'a': 0.5, 'e': 0.059359424524750785}",20,9,20.951677298825913,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.05876583027950327}",25,19,9.746307614239567,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.05817817197670824}",25,7,-17.129929894966047,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
283,False,"{'a': 0.5, 'e': 0.05759639025694116}",25,3,36.73091668077074,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.057020426354371746}",25,15,-25.950023620897365,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
285,False,"{'a': 0.5, 'e': 0.05645022209082803}",20,3,19.70367534163772,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.05588571986991975}",20,13,12.00743609502987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.05532686267122055}",20,6,26.304877803727866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.05477359404450834}",20,14,9.004393217344052,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.05422585810406326}",20,16,5.968570592648259,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.05368359952302263}",25,0,44.02921945774453,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.0531467635277924}",20,16,9.394845047184294,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.05261529589251448}",30,12,30.65356970412965,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.05208914293358933}",30,11,20.461304182838834,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.05156825150425344}",25,11,29.766124906711653,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.0510525689892109}",20,6,22.602207170221806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.050542043299318794}",30,16,24.31964010561477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.050036622866325604}",20,11,18.37064821382428,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.04953625663766235}",20,10,17.56468173094311,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,19.559391753011205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,20.430380891694742,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,8.063144410810729,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,19.282508399059797,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,13.250550284679187,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,20.710721537604012,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,15.395672355735245,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,23.481200881390265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,11.829938662319037,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,22.14102198923796,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,2,33.98352567805757,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,10,17.88878903534242,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
